Faculty ID,Name,Primary Email,Secondary Email,Phone,Department,Designation Role,Status,Can Reschedule Cancel,Assigned Cohorts,Last Updated
"fac-1","Dr. Rajesh Jambhulkar","bhaskarekka27@gmail.com","rajesh.j@pwmeded.edu.in","98234 56710","Biochemistry","Professor • Biochemistry","Verified","FALSE","Prarambh '26; Sushruta '26; INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-2","Dr. Pradeep Pawar","pradeep.p@pwmeded.edu.in","","98450 12389","Anatomy","Professor • Anatomy","Verified","TRUE","Prarambh '26; INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-3","Dr. Vivek Nalgirkar","vivek.physio@pwmeded.edu.in","","99881 23411","Physiology","Professor • Physiology","Verified","TRUE","Sushruta '26; INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-4","Dr. Sanchit Sir","sanchit.path@pwmeded.edu.in","","98721 54320","Pathology","Assoc. Professor • Pathology","Verified","TRUE","Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-5","Dr. Ashwani Sir","ashwani.psm@pwmeded.edu.in","","98112 34509","Community Med","Assoc. Professor • Community Med","Verified","TRUE","Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-6","Dr. Sudha Ma'am","sudha.optha@pwmeded.edu.in","","97654 32100","Ophthalmology","Assistant Professor • Ophthalmology","Pending","TRUE","Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-7","Dr. Gobind Rai Garg","gobind.garg@pwmeded.edu.in","","98100 45678","Pharmacology","Professor • Pharmacology","Verified","TRUE","Prarambh '26; Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-8","Dr. Preeti Sharma","preeti.micro@pwmeded.edu.in","","98711 22334","Microbiology","Professor • Microbiology","Verified","TRUE","Prarambh '26","2026-09-24T12:00:00.000Z"
"fac-9","Dr. Apurv Mehra","apurv.ortho@pwmeded.edu.in","","98188 99001","General Surgery","Professor • Ortho & Surgery","Verified","TRUE","Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-10","Dr. Zainab Vora","zainab.med@pwmeded.edu.in","","98200 11223","General Medicine","Consultant • Radiology & Medicine","Verified","TRUE","Prarambh '26; Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-11","Dr. Nikita Nanwani","nikita.fmt@pwmeded.edu.in","","98333 44556","Forensic Med","Assoc. Professor • FMT","Verified","TRUE","Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-12","Dr. Neha Taneja","neha.psm@pwmeded.edu.in","","98122 33445","Community Med","Assoc. Professor • PSM","Verified","TRUE","Prarambh '26","2026-09-24T12:00:00.000Z"
"fac-13","Dr. Shrikant","shrikant.peds@pwmeded.edu.in","","98765 11223","Pediatrics","Assistant Professor • Pediatrics","Verified","TRUE","Sushruta '26","2026-09-24T12:00:00.000Z"
"fac-14","Dr. Rajiv Ranjan","rajiv.ent@pwmeded.edu.in","","98990 01122","ENT","Assistant Professor • ENT","Pending","TRUE","Prarambh '26","2026-09-24T12:00:00.000Z"
"fac-15","Dr. Ranjith AR","ranjith.ar@pwmeded.edu.in","","98401 22334","Pathology","Senior Consultant • Pathology","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-16","Dr. Manjunath A","manjunath.a@pwmeded.edu.in","","98452 33445","Forensic Medicine","Assoc. Professor • Forensic Medicine","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-17","Dr. Vinish Srivastava","vinish.s@pwmeded.edu.in","","98110 44556","Anaesthesia","Professor • Anaesthesia","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-18","Dr. Ashwani Ranjan","ashwani.r@pwmeded.edu.in","","98112 55667","Community Medicine","Professor • Community Medicine (PSM)","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-19","Dr. Sudha Seetharam","sudha.s@pwmeded.edu.in","","97654 66778","Ophthalmology","Professor • Ophthalmology","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-20","Dr. Sanchit Bajpai","sanchit.b@pwmeded.edu.in","","98721 77889","ENT","Assoc. Professor • ENT","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-21","Dr. Santhosh Patil","santhosh.p@pwmeded.edu.in","","98440 88990","General Medicine","Lead Consultant • Medicine","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-22","Dr. Era Dutta","era.dutta@pwmeded.edu.in","","98201 99001","Psychiatry","Consultant Psychiatrist","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-23","Dr. Siraj Ahmad","siraj.a@pwmeded.edu.in","","98102 11223","Pharmacology","Professor • Pharmacology","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-24","Dr. Prassan Vij","prassan.vij@pwmeded.edu.in","","98103 22334","Obstetrics & Gynaecology","Lead Consultant • OBG","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-25","Dr. Alekhya","alekhya.ortho@pwmeded.edu.in","","98480 33445","Orthopedics","Consultant • Orthopedics","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
"fac-26","Dr. Sandeep Seeramreddi","sandeep.s@pwmeded.edu.in","","98490 44556","General Surgery","Senior Consultant • Surgery","Verified","TRUE","INI-CET '26; FMGE '26","2026-09-24T12:00:00.000Z"
